RefDate,num_compte,libelle,Debit,Credit,classe,type,annee,mois
2026-04-01,614730100000,,100.0,0.0,6,charge,2026,4
2026-04-01,614730100000,,85.0,0.0,6,charge,2026,4
2026-03-31,612110101100,,1886.4,0.0,6,charge,2026,3
2026-03-31,612100102000,,14903.9,0.0,6,charge,2026,3
2026-03-31,612110101000,,1431.6,0.0,6,charge,2026,3
2026-03-31,631150101102,,88.13,0.0,6,charge,2026,3
2026-03-31,612110101100,,0.0,1431.6,6,charge,2026,3
2026-03-31,612110101000,,727.2,0.0,6,charge,2026,3
2026-03-31,612110101000,,454.8,0.0,6,charge,2026,3
2026-03-31,631150100002,,107500.0,0.0,6,charge,2026,3
2026-03-31,612110101100,,0.0,454.8,6,charge,2026,3
2026-03-31,612510122000,,26.63,0.0,6,charge,2026,3
2026-03-31,631150100003,,122500.0,0.0,6,charge,2026,3
2026-03-31,631150101301,,68405.63,0.0,6,charge,2026,3
2026-03-31,631150122501,,77699.95,0.0,6,charge,2026,3
2026-03-31,614730100000,,7.0,0.0,6,charge,2026,3
2026-03-31,631150101101,,63116.54,0.0,6,charge,2026,3
2026-03-31,614730400000,,85.42,0.0,6,charge,2026,3
2026-03-31,631150100701,,44508.49,0.0,6,charge,2026,3
2026-03-31,614730100000,,7.0,0.0,6,charge,2026,3
2026-03-31,614730400000,,461.28,0.0,6,charge,2026,3
2026-03-31,614730100000,,150.0,0.0,6,charge,2026,3
2026-03-31,612510122000,,2743.47,0.0,6,charge,2026,3
2026-03-31,613650102000,,1700.0,0.0,6,charge,2026,3
2026-03-31,612630600000,,1000.0,0.0,6,charge,2026,3
2026-03-31,614730400000,,346.14,0.0,6,charge,2026,3
2026-03-31,614360100000,,430.0,0.0,6,charge,2026,3
2026-03-31,614310100000,,250.0,0.0,6,charge,2026,3
2026-03-31,614730100000,,20.0,0.0,6,charge,2026,3
2026-03-31,613650102000,,0.0,1700.0,6,charge,2026,3
2026-03-31,613650102000,,2428.57,0.0,6,charge,2026,3
2026-03-30,612100102000,,11046.6,0.0,6,charge,2026,3
2026-03-30,612110101000,,18546.0,0.0,6,charge,2026,3
2026-03-30,612110101000,,13540.8,0.0,6,charge,2026,3
2026-03-29,612110101000,,15312.0,0.0,6,charge,2026,3
2026-03-28,612100102000,,8738.0,0.0,6,charge,2026,3
2026-03-28,612110101000,,9702.0,0.0,6,charge,2026,3
2026-03-28,612100102000,,900.8,0.0,6,charge,2026,3
2026-03-28,612110101000,,35673.0,0.0,6,charge,2026,3
2026-03-28,612110101000,,140.7,0.0,6,charge,2026,3
2026-03-28,612110101000,,23046.0,0.0,6,charge,2026,3
2026-03-28,612110101000,,9724.0,0.0,6,charge,2026,3
2026-03-27,613200100000,,7635.51,0.0,6,charge,2026,3
2026-03-27,612100102000,,9210.6,0.0,6,charge,2026,3
2026-03-27,613320100000,,40.0,0.0,6,charge,2026,3
2026-03-27,612110101000,,916.8,0.0,6,charge,2026,3
2026-03-27,613200100000,,8690.88,0.0,6,charge,2026,3
2026-03-27,612110101000,,19338.0,0.0,6,charge,2026,3
2026-03-26,612100102000,,5950.0,0.0,6,charge,2026,3
2026-03-26,614730300000,,38.33,0.0,6,charge,2026,3
2026-03-26,612110101000,,624.0,0.0,6,charge,2026,3
2026-03-26,612520100000,,60.0,0.0,6,charge,2026,3
2026-03-26,612520100000,,41.0,0.0,6,charge,2026,3
2026-03-26,631110102502,,46532.87,0.0,6,charge,2026,3
2026-03-25,614360100000,,1400.0,0.0,6,charge,2026,3
2026-03-25,614310100000,,200.0,0.0,6,charge,2026,3
2026-03-23,613200100000,,5117.2,0.0,6,charge,2026,3
2026-03-18,613200100000,,29367.36,0.0,6,charge,2026,3
2026-03-17,612220106000,,1060.0,0.0,6,charge,2026,3
2026-03-17,612220100000,,200.0,0.0,6,charge,2026,3
2026-03-17,658000100000,,1.29,0.0,6,charge,2026,3
2026-03-17,613320100000,,20.0,0.0,6,charge,2026,3
2026-03-17,613320100000,,200.0,0.0,6,charge,2026,3
2026-03-16,612100102000,,1392.0,0.0,6,charge,2026,3
2026-03-15,612100102000,,1776.0,0.0,6,charge,2026,3
2026-03-15,612100102000,,12002.0,0.0,6,charge,2026,3
2026-03-14,613320100000,,140.0,0.0,6,charge,2026,3
2026-03-14,612100102000,,2480.0,0.0,6,charge,2026,3
2026-03-14,612100102000,,14858.0,0.0,6,charge,2026,3
2026-03-13,614310100000,,100.0,0.0,6,charge,2026,3
2026-03-13,612301510100,,43500.0,0.0,6,charge,2026,3
2026-03-13,612100102000,,16609.0,0.0,6,charge,2026,3
2026-03-13,612100102000,,2016.0,0.0,6,charge,2026,3
2026-03-12,658300100000,,215.0,0.0,6,charge,2026,3
2026-03-12,612100102000,,2304.0,0.0,6,charge,2026,3
2026-03-12,613320100000,,40.0,0.0,6,charge,2026,3
2026-03-12,612100102000,,24656.8,0.0,6,charge,2026,3
2026-03-12,612110101000,,614.4,0.0,6,charge,2026,3
2026-03-12,614730100000,,10.0,0.0,6,charge,2026,3
2026-03-11,614310100000,,11.36,0.0,6,charge,2026,3
2026-03-11,612221054000,,1056.0,0.0,6,charge,2026,3
2026-03-11,614310100000,,33.12,0.0,6,charge,2026,3
2026-03-11,614730100000,,8.0,0.0,6,charge,2026,3
2026-03-11,612100102000,,2192.0,0.0,6,charge,2026,3
2026-03-10,612110101000,,31130.0,0.0,6,charge,2026,3
2026-03-10,612100102000,,2000.0,0.0,6,charge,2026,3
2026-03-10,612100102000,,14506.1,0.0,6,charge,2026,3
2026-03-10,612110101000,,880.8,0.0,6,charge,2026,3
2026-03-10,631110100704,,4720.07,0.0,6,charge,2026,3
2026-03-10,633100100000,,1110.9,0.0,6,charge,2026,3
2026-03-10,614730300000,,187.0,0.0,6,charge,2026,3
2026-03-10,613650102000,,3636.04,0.0,6,charge,2026,3
2026-03-10,633100100000,,917.28,0.0,6,charge,2026,3
2026-03-10,614730300000,,187.0,0.0,6,charge,2026,3
2026-03-10,613650102000,,2950.99,0.0,6,charge,2026,3
2026-03-10,633100100000,,428.0,0.0,6,charge,2026,3
2026-03-10,614730300000,,187.0,0.0,6,charge,2026,3
2026-03-10,613650102000,,2454.74,0.0,6,charge,2026,3
2026-03-10,612220101000,,171607.27,0.0,6,charge,2026,3
2026-03-09,614310100000,,220.0,0.0,6,charge,2026,3
2026-03-09,612100102000,,14747.5,0.0,6,charge,2026,3
2026-03-09,614520100000,,1404.0,0.0,6,charge,2026,3
2026-03-09,612110101000,,444.0,0.0,6,charge,2026,3
2026-03-08,613200100000,,3246.56,0.0,6,charge,2026,3
2026-03-07,612100102000,,6987.0,0.0,6,charge,2026,3
2026-03-07,613650102000,,99128.57,0.0,6,charge,2026,3
2026-03-06,612100102000,,5746.0,0.0,6,charge,2026,3
2026-03-05,612110101000,,840.0,0.0,6,charge,2026,3
2026-03-05,612220101000,,173090.91,0.0,6,charge,2026,3
2026-03-05,612100102000,,8381.0,0.0,6,charge,2026,3
2026-03-05,612220101000,,172349.09,0.0,6,charge,2026,3
2026-03-05,612100102000,,608.0,0.0,6,charge,2026,3
2026-03-04,612110101000,,115.5,0.0,6,charge,2026,3
2026-03-04,612100102000,,1288.0,0.0,6,charge,2026,3
2026-03-04,612100102000,,7225.0,0.0,6,charge,2026,3
2026-03-04,614730100000,,195.0,0.0,6,charge,2026,3
2026-03-04,614730100000,,65.0,0.0,6,charge,2026,3
2026-03-03,613200100000,,8527.68,0.0,6,charge,2026,3
2026-03-03,612100102000,,7378.0,0.0,6,charge,2026,3
2026-03-03,614360100000,,2400.0,0.0,6,charge,2026,3
2026-03-03,612100102000,,1840.0,0.0,6,charge,2026,3
2026-03-03,614360100000,,1200.0,0.0,6,charge,2026,3
2026-03-03,614360100000,,1800.0,0.0,6,charge,2026,3
2026-03-02,612100102000,,6460.0,0.0,6,charge,2026,3
2026-03-02,614550100000,,150.0,0.0,6,charge,2026,3
2026-03-02,614730100000,,8.0,0.0,6,charge,2026,3
2026-03-01,614730100000,,100.0,0.0,6,charge,2026,3
2026-03-01,614550100000,,3336.68,0.0,6,charge,2026,3
2026-03-01,614550100000,,145.02,0.0,6,charge,2026,3
2026-03-01,614550100000,,135.0,0.0,6,charge,2026,3
2026-03-01,614550100000,,1033.33,0.0,6,charge,2026,3
2026-02-28,612510122000,,53.26,0.0,6,charge,2026,2
2026-02-28,613340100000,,14032.35,0.0,6,charge,2026,2
2026-02-28,613120000000,,82500.0,0.0,6,charge,2026,2
2026-02-28,612110101100,,2601.2,0.0,6,charge,2026,2
2026-02-28,612630600000,,1000.0,0.0,6,charge,2026,2
2026-02-28,612110101000,,525.0,0.0,6,charge,2026,2
2026-02-28,612510107000,,38818.98,0.0,6,charge,2026,2
2026-02-28,612100102000,,1120.0,0.0,6,charge,2026,2
2026-02-28,612510122000,,3262.87,0.0,6,charge,2026,2
2026-02-28,612110101000,,2684.0,0.0,6,charge,2026,2
2026-02-28,612220100000,,6867.92,0.0,6,charge,2026,2
2026-02-28,613650102000,,1700.0,0.0,6,charge,2026,2
2026-02-28,612630600000,,6000.0,0.0,6,charge,2026,2
2026-02-28,613650102000,,0.0,1700.0,6,charge,2026,2
2026-02-28,612630100000,,19369.72,0.0,6,charge,2026,2
2026-02-28,613650102000,,2428.57,0.0,6,charge,2026,2
2026-02-28,612110101000,,6911.0,0.0,6,charge,2026,2
2026-02-28,612221056000,,6767.7,0.0,6,charge,2026,2
2026-02-28,612220100000,,5629.2,0.0,6,charge,2026,2
2026-02-27,612110101000,,850.0,0.0,6,charge,2026,2
2026-02-27,614730400000,,0.0,0.01,6,charge,2026,2
2026-02-27,612100102000,,5457.0,0.0,6,charge,2026,2
2026-02-27,614730100000,,150.0,0.0,6,charge,2026,2
2026-02-27,614730100000,,20.0,0.0,6,charge,2026,2
2026-02-27,631110102502,,47403.36,0.0,6,charge,2026,2
2026-02-27,613200100000,,8690.88,0.0,6,charge,2026,2
2026-02-27,613200100000,,7635.51,0.0,6,charge,2026,2
2026-02-27,614730400000,,318.45,0.0,6,charge,2026,2
2026-02-26,613320100000,,290.0,0.0,6,charge,2026,2
2026-02-26,612100102000,,16320.0,0.0,6,charge,2026,2
2026-02-26,613320100000,,420.0,0.0,6,charge,2026,2
2026-02-26,612110101000,,26378.0,0.0,6,charge,2026,2
2026-02-25,614250100009,,1300.0,0.0,6,charge,2026,2
2026-02-25,612110101000,,11088.0,0.0,6,charge,2026,2
2026-02-25,612110101000,,26202.0,0.0,6,charge,2026,2
2026-02-25,612110101000,,22968.0,0.0,6,charge,2026,2
2026-02-25,612110101000,,25476.0,0.0,6,charge,2026,2
2026-02-25,612110101000,,31825.0,0.0,6,charge,2026,2
2026-02-25,612100102000,,11288.0,0.0,6,charge,2026,2
2026-02-24,614360100000,,100.0,0.0,6,charge,2026,2
2026-02-24,612100102000,,20791.0,0.0,6,charge,2026,2
2026-02-24,612110101000,,24618.0,0.0,6,charge,2026,2
2026-02-24,612110101000,,23496.0,0.0,6,charge,2026,2
2026-02-23,612630600000,,330.0,0.0,6,charge,2026,2
2026-02-23,612110101000,,32824.0,0.0,6,charge,2026,2
2026-02-23,614520100000,,1100.0,0.0,6,charge,2026,2
2026-02-23,612110101000,,9240.0,0.0,6,charge,2026,2
2026-02-23,614310100000,,153.0,0.0,6,charge,2026,2
2026-02-23,612110101000,,8866.0,0.0,6,charge,2026,2
2026-02-23,612110101000,,9372.0,0.0,6,charge,2026,2
2026-02-23,612110101000,,725.0,0.0,6,charge,2026,2
2026-02-23,612100102000,,20876.0,0.0,6,charge,2026,2
2026-02-23,613200100000,,5117.2,0.0,6,charge,2026,2
2026-02-21,613320100000,,1158.0,0.0,6,charge,2026,2
2026-02-21,612100102000,,10132.0,0.0,6,charge,2026,2
2026-02-21,612110101000,,726.0,0.0,6,charge,2026,2
2026-02-20,614360100000,,1525.0,0.0,6,charge,2026,2
2026-02-20,612110101000,,705.6,0.0,6,charge,2026,2
2026-02-20,614310100000,,850.0,0.0,6,charge,2026,2
2026-02-20,612100102000,,18472.2,0.0,6,charge,2026,2
2026-02-20,613320100000,,700.0,0.0,6,charge,2026,2
2026-02-19,612100102000,,11866.0,0.0,6,charge,2026,2
2026-02-19,614520100000,,100.0,0.0,6,charge,2026,2
2026-02-19,612630600000,,3500.0,0.0,6,charge,2026,2
2026-02-18,613200100000,,29367.36,0.0,6,charge,2026,2
2026-02-18,614310100000,,95.0,0.0,6,charge,2026,2
2026-02-18,612110101000,,10252.0,0.0,6,charge,2026,2
2026-02-18,612110101000,,23122.0,0.0,6,charge,2026,2
2026-02-18,612110101000,,14366.0,0.0,6,charge,2026,2
2026-02-18,612110101000,,8184.0,0.0,6,charge,2026,2
2026-02-18,612110101000,,38852.0,0.0,6,charge,2026,2
2026-02-17,614360100000,,200.0,0.0,6,charge,2026,2
2026-02-17,612100102000,,16490.0,0.0,6,charge,2026,2
2026-02-16,614310100000,,300.0,0.0,6,charge,2026,2
2026-02-16,612110101000,,700.8,0.0,6,charge,2026,2
2026-02-16,612630600000,,800.0,0.0,6,charge,2026,2
2026-02-16,612100102000,,14463.6,0.0,6,charge,2026,2
2026-02-16,614550100000,,150.0,0.0,6,charge,2026,2
2026-02-16,614360100000,,1053.0,0.0,6,charge,2026,2
2026-02-16,613320100000,,300.0,0.0,6,charge,2026,2
2026-02-16,614360100000,,1053.0,0.0,6,charge,2026,2
2026-02-16,614360100000,,1053.0,0.0,6,charge,2026,2
2026-02-15,614520100000,,60.0,0.0,6,charge,2026,2
2026-02-15,614360100000,,198.0,0.0,6,charge,2026,2
2026-02-15,614310100000,,70.0,0.0,6,charge,2026,2
2026-02-13,612100102000,,10946.3,0.0,6,charge,2026,2
2026-02-13,612630600000,,2333.43,0.0,6,charge,2026,2
2026-02-13,612110101000,,626.4,0.0,6,charge,2026,2
2026-02-13,613320100000,,1158.0,0.0,6,charge,2026,2
2026-02-13,614110100000,,330.0,0.0,6,charge,2026,2
2026-02-13,614350100000,,1533.5,0.0,6,charge,2026,2
2026-02-12,612100102000,,16779.0,0.0,6,charge,2026,2
2026-02-12,614360100000,,1700.0,0.0,6,charge,2026,2
2026-02-12,612220101000,,157181.79,0.0,6,charge,2026,2
2026-02-12,614730100000,,10.0,0.0,6,charge,2026,2
2026-02-12,614360100000,,1000.0,0.0,6,charge,2026,2
2026-02-12,614730400000,,7177.78,0.0,6,charge,2026,2
2026-02-12,614310100000,,500.0,0.0,6,charge,2026,2
2026-02-12,614730400000,,50.0,0.0,6,charge,2026,2
2026-02-12,614360100000,,44.0,0.0,6,charge,2026,2
2026-02-12,614730400000,,7.0,0.0,6,charge,2026,2
2026-02-11,612220101000,,160018.16,0.0,6,charge,2026,2
2026-02-11,612100102000,,11968.0,0.0,6,charge,2026,2
2026-02-10,612100102000,,13583.0,0.0,6,charge,2026,2
2026-02-10,631110100704,,5496.1,0.0,6,charge,2026,2
2026-02-09,614730100000,,65.0,0.0,6,charge,2026,2
2026-02-09,612540100000,,3405.0,0.0,6,charge,2026,2
2026-02-09,614730100000,,195.0,0.0,6,charge,2026,2
2026-02-09,612100102000,,8007.0,0.0,6,charge,2026,2
2026-02-07,612100102000,,15521.0,0.0,6,charge,2026,2
2026-02-05,612100102000,,14297.0,0.0,6,charge,2026,2
2026-02-05,612220100000,,3628.1,0.0,6,charge,2026,2
2026-02-04,614350100000,,1500.0,0.0,6,charge,2026,2
2026-02-04,612100102000,,10166.0,0.0,6,charge,2026,2
2026-02-04,614730100000,,90.91,0.0,6,charge,2026,2
2026-02-04,613650102000,,31617.53,0.0,6,charge,2026,2
2026-02-03,613200100000,,8527.68,0.0,6,charge,2026,2
2026-02-03,612100102000,,10727.0,0.0,6,charge,2026,2
2026-02-03,612100102000,,6953.0,0.0,6,charge,2026,2
2026-02-01,612110101000,,534.4,0.0,6,charge,2026,2
2026-02-01,614550100000,,3569.14,0.0,6,charge,2026,2
