date,num_compte,nom_compte,type,montant_debit,montant_credit
2016-01-01,COMPTE_6011,Achats matières premières,dépense,101838.69,0.0
2016-01-01,COMPTE_7111,Chiffre d affaires,produit,0.0,942565.13
2016-01-02,COMPTE_6174,Téléphone et internet,dépense,10040.37,0.0
2016-01-03,COMPTE_6171,Transport et livraisons,dépense,23135.44,0.0
2016-01-06,COMPTE_7120,Subventions reçues,produit,0.0,30982.21
2016-01-07,COMPTE_6176,Honoraires consultants,dépense,34572.3,0.0
2016-01-07,COMPTE_6185,Maintenance équipements,dépense,21706.41,0.0
2016-01-08,COMPTE_6141,Loyers,dépense,55500.07,0.0
2016-01-08,COMPTE_6200,Salaires,dépense,372961.54,0.0
2016-01-09,COMPTE_6210,Charges sociales CNSS,dépense,100790.46,0.0
2016-01-11,COMPTE_7300,Intérêts bancaires reçus,produit,0.0,9746.86
2016-01-20,COMPTE_6178,Fournitures de bureau,dépense,6558.16,0.0
2016-01-23,COMPTE_6190,Formation du personnel,dépense,17143.37,0.0
2016-01-24,COMPTE_6165,Electricité et eau,dépense,28360.1,0.0
2016-01-24,COMPTE_6161,Assurances,dépense,13181.35,0.0
2016-02-04,COMPTE_6176,Honoraires consultants,dépense,32845.26,0.0
2016-02-07,COMPTE_6011,Achats matières premières,dépense,75368.93,0.0
2016-02-09,COMPTE_6171,Transport et livraisons,dépense,16299.49,0.0
2016-02-10,COMPTE_6185,Maintenance équipements,dépense,18259.08,0.0
2016-02-10,COMPTE_7120,Subventions reçues,produit,0.0,21811.28
2016-02-11,COMPTE_6141,Loyers,dépense,48613.76,0.0
2016-02-12,COMPTE_6200,Salaires,dépense,339153.2,0.0
2016-02-13,COMPTE_6161,Assurances,dépense,10457.87,0.0
2016-02-13,COMPTE_6178,Fournitures de bureau,dépense,6726.0,0.0
2016-02-20,COMPTE_6190,Formation du personnel,dépense,14614.32,0.0
2016-02-22,COMPTE_7111,Chiffre d affaires,produit,0.0,620492.41
2016-02-23,COMPTE_6210,Charges sociales CNSS,dépense,86512.04,0.0
2016-02-24,COMPTE_6174,Téléphone et internet,dépense,8819.02,0.0
2016-02-28,COMPTE_7300,Intérêts bancaires reçus,produit,0.0,8706.31
2016-02-28,COMPTE_6165,Electricité et eau,dépense,23381.8,0.0
2016-03-02,COMPTE_7300,Intérêts bancaires reçus,produit,0.0,7717.2
2016-03-02,COMPTE_7120,Subventions reçues,produit,0.0,28362.97
2016-03-04,COMPTE_6011,Achats matières premières,dépense,82095.48,0.0
2016-03-06,COMPTE_6185,Maintenance équipements,dépense,24687.85,0.0
2016-03-08,COMPTE_6210,Charges sociales CNSS,dépense,98725.12,0.0
2016-03-09,COMPTE_6171,Transport et livraisons,dépense,17252.9,0.0
2016-03-09,COMPTE_6190,Formation du personnel,dépense,14533.57,0.0
2016-03-12,COMPTE_6161,Assurances,dépense,13659.26,0.0
2016-03-12,COMPTE_6165,Electricité et eau,dépense,26424.61,0.0
2016-03-15,COMPTE_6141,Loyers,dépense,45550.79,0.0
2016-03-18,COMPTE_6178,Fournitures de bureau,dépense,6773.61,0.0
2016-03-20,COMPTE_6176,Honoraires consultants,dépense,38382.09,0.0
2016-03-21,COMPTE_6200,Salaires,dépense,385343.95,0.0
2016-03-22,COMPTE_6174,Téléphone et internet,dépense,9465.37,0.0
2016-03-27,COMPTE_7111,Chiffre d affaires,produit,0.0,831115.12
2016-04-03,COMPTE_7111,Chiffre d affaires,produit,0.0,752143.42
2016-04-05,COMPTE_6210,Charges sociales CNSS,dépense,85315.31,0.0
2016-04-07,COMPTE_6141,Loyers,dépense,41864.5,0.0
2016-04-09,COMPTE_6176,Honoraires consultants,dépense,34567.94,0.0
